ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,2017-04-19,403.0,409.1,402.86,405.74,404.65,1.09,0.27,37550.11,1521983.6509999998
600519.SH,2017-04-20,406.09,420.43,406.09,415.31,405.74,9.57,2.36,50457.68,2091241.4530000002
600519.SH,2017-04-21,415.0,415.6,400.0,400.53,415.31,-14.78,-3.56,49332.92,2015062.634
600519.SH,2017-04-24,400.62,405.0,389.0,398.55,400.53,-1.98,-0.49,50037.97,1986424.986
600519.SH,2017-04-25,404.8,420.17,404.8,418.89,398.55,20.34,5.1,76192.71,3143136.3430000003
600519.SH,2017-04-26,418.85,428.68,413.01,417.96,418.89,-0.93,-0.22,56624.12,2384125.12
600519.SH,2017-04-27,415.53,421.97,410.43,421.44,417.96,3.48,0.83,28240.71,1180494.894
600519.SH,2017-04-28,421.99,423.0,409.9,413.48,421.44,-7.96,-1.89,49505.87,2052093.8090000001
600519.SH,2017-05-02,411.6,415.0,409.18,412.08,413.48,-1.4,-0.34,23291.68,960137.243
600519.SH,2017-05-03,411.0,417.66,411.0,417.61,412.08,5.53,1.34,20267.91,842560.358
600519.SH,2017-05-04,414.63,418.48,414.63,416.0,417.61,-1.61,-0.39,26709.15,1111200.116
600519.SH,2017-05-05,416.2,422.78,415.1,416.19,416.0,0.19,0.05,37437.11,1566063.418
600519.SH,2017-05-08,416.18,417.0,404.72,405.48,416.19,-10.71,-2.57,40721.65,1671035.5380000002
600519.SH,2017-05-09,404.44,409.88,398.0,408.76,405.48,3.28,0.81,52801.92,2126236.509
600519.SH,2017-05-10,408.4,414.44,407.02,410.09,408.76,1.33,0.33,26039.38,1070652.7140000002
600519.SH,2017-05-11,408.4,414.7,406.51,412.16,410.09,2.07,0.5,30467.64,1254053.012
600519.SH,2017-05-12,413.59,415.3,410.01,413.47,412.16,1.31,0.32,22337.42,921621.377
600519.SH,2017-05-15,413.12,420.35,413.12,419.55,413.47,6.08,1.47,33447.35,1398908.2
600519.SH,2017-05-16,419.6,431.22,418.26,430.12,419.55,10.57,2.52,50164.9,2145037.9480000003
600519.SH,2017-05-17,429.0,430.19,424.88,426.6,430.12,-3.52,-0.82,27515.21,1174696.1770000001
600519.SH,2017-05-18,425.05,430.7,425.01,429.54,426.6,2.94,0.69,24300.8,1040535.48
600519.SH,2017-05-19,429.57,441.8,429.57,440.82,429.54,11.28,2.63,38310.83,1672948.4230000002
600519.SH,2017-05-22,439.04,446.01,436.2,441.78,440.82,0.96,0.22,35321.49,1560087.945
600519.SH,2017-05-23,442.25,454.47,442.25,454.2,441.78,12.42,2.81,48454.39,2178738.025
600519.SH,2017-05-24,452.9,456.48,446.0,450.32,454.2,-3.88,-0.85,40226.18,1812513.084
600519.SH,2017-05-25,448.71,452.96,447.5,450.6,450.32,0.28,0.06,28898.42,1299628.591
600519.SH,2017-05-26,450.82,455.6,448.0,451.92,450.6,1.32,0.29,27386.64,1237323.135
600519.SH,2017-05-31,450.0,450.5,440.11,442.94,451.92,-8.98,-1.99,44312.25,1968887.174
600519.SH,2017-06-01,442.5,449.95,441.01,449.28,442.94,6.34,1.43,40604.78,1808305.7130000002
600519.SH,2017-06-02,450.0,450.95,445.6,447.31,449.28,-1.97,-0.44,21785.26,974893.318
600519.SH,2017-06-05,448.04,449.0,442.35,444.41,447.31,-2.9,-0.65,19241.2,854876.925
600519.SH,2017-06-06,444.97,449.0,444.2,448.82,444.41,4.41,0.99,20402.44,912438.705
600519.SH,2017-06-07,449.12,460.0,449.12,459.37,448.82,10.55,2.35,38834.3,1774212.4840000002
600519.SH,2017-06-08,461.32,464.4,458.5,464.31,459.37,4.94,1.08,28951.11,1338443.4070000001
600519.SH,2017-06-09,464.24,470.8,463.0,465.74,464.31,1.43,0.31,31430.76,1467836.835
600519.SH,2017-06-12,467.0,475.44,465.0,472.88,465.74,7.14,1.53,35109.16,1654501.999
600519.SH,2017-06-13,473.05,474.5,467.0,473.04,472.88,0.16,0.03,24237.98,1141536.364
600519.SH,2017-06-14,472.79,477.5,470.48,474.39,473.04,1.35,0.29,33768.63,1600846.629
600519.SH,2017-06-15,475.0,475.48,464.0,464.3,474.39,-10.09,-2.13,50202.8,2347172.38
600519.SH,2017-06-16,461.5,467.49,461.26,462.63,464.3,-1.67,-0.36,33331.8,1544955.9440000001
600519.SH,2017-06-19,461.96,470.39,461.96,470.17,462.63,7.54,1.63,38536.68,1803585.246
600519.SH,2017-06-20,473.0,474.88,465.66,466.3,470.17,-3.87,-0.82,34505.39,1614858.1509999998
600519.SH,2017-06-21,469.55,473.0,466.03,472.71,466.3,6.41,1.37,42038.54,1974672.846
600519.SH,2017-06-22,473.02,477.93,471.2,472.75,472.71,0.04,0.01,38242.34,1815684.37
600519.SH,2017-06-23,472.86,474.88,468.33,472.73,472.75,-0.02,0.0,31303.62,1473803.782
600519.SH,2017-06-26,473.01,485.0,472.0,484.68,472.73,11.95,2.53,52932.57,2536430.501
600519.SH,2017-06-27,482.82,485.0,480.85,484.1,484.68,-0.58,-0.12,27980.78,1350476.765
600519.SH,2017-06-28,484.09,484.09,473.0,475.3,484.1,-8.8,-1.82,37728.74,1799676.8180000002
600519.SH,2017-06-29,476.3,477.35,470.0,473.01,475.3,-2.29,-0.48,35092.72,1657994.404
600519.SH,2017-06-30,471.51,474.16,467.8,471.85,473.01,-1.16,-0.25,22427.17,1056424.784
600519.SH,2017-07-03,474.2,474.2,457.9,460.37,471.85,-11.48,-2.43,49628.53,2298656.458
600519.SH,2017-07-04,458.96,460.0,449.0,451.92,460.37,-8.45,-1.84,56488.95,2563886.39
600519.SH,2017-07-05,453.01,460.33,453.01,460.13,451.92,8.21,1.82,37540.32,1718844.532
600519.SH,2017-07-06,458.11,460.2,450.6,455.98,460.13,-4.15,-0.9,42044.39,1913037.511
600519.SH,2017-07-07,451.05,451.1,441.2,445.97,449.19,-3.22,-0.72,37796.47,1681450.715
600519.SH,2017-07-10,446.88,454.9,442.97,454.47,445.97,8.5,1.91,36624.09,1648443.67
600519.SH,2017-07-11,454.5,464.58,454.0,463.13,454.47,8.66,1.91,44601.82,2054854.503
600519.SH,2017-07-12,465.8,465.99,455.0,457.47,463.13,-5.66,-1.22,28950.72,1330327.923
600519.SH,2017-07-13,455.35,461.91,453.68,456.16,457.47,-1.31,-0.29,25951.35,1183440.452
600519.SH,2017-07-14,456.25,458.76,453.05,456.41,456.16,0.25,0.05,17726.57,806510.2740000001
600519.SH,2017-07-17,457.04,458.04,446.28,450.07,456.41,-6.34,-1.39,35263.68,1595292.99
600519.SH,2017-07-18,451.99,453.99,448.0,452.55,450.07,2.48,0.55,30684.49,1384468.254
600519.SH,2017-07-19,454.0,463.62,452.8,456.86,452.55,4.31,0.95,56259.94,2574934.655
600519.SH,2017-07-20,455.86,466.89,455.86,466.47,456.86,9.61,2.1,46634.87,2160731.54
600519.SH,2017-07-21,466.96,475.01,463.66,473.2,466.47,6.73,1.44,46792.41,2207195.747
600519.SH,2017-07-24,474.88,485.35,474.88,477.8,473.2,4.6,0.97,42716.43,2052709.805
600519.SH,2017-07-25,482.2,482.8,476.1,477.96,477.8,0.16,0.03,21929.99,1051446.103
600519.SH,2017-07-26,478.05,481.63,466.56,471.63,477.96,-6.33,-1.32,31470.18,1487729.148
600519.SH,2017-07-27,471.63,475.85,471.1,473.87,471.63,2.24,0.47,19595.03,928077.23
600519.SH,2017-07-28,471.0,484.07,467.71,483.92,473.87,10.05,2.12,46618.77,2235811.5330000003
600519.SH,2017-07-31,484.0,487.96,481.0,481.22,483.92,-2.7,-0.56,38412.18,1861154.799
600519.SH,2017-08-01,481.0,483.0,477.4,480.24,481.22,-0.98,-0.2,27501.54,1318453.67
600519.SH,2017-08-02,480.04,484.88,478.51,482.84,480.24,2.6,0.54,26774.22,1289564.021
600519.SH,2017-08-03,483.68,486.85,475.63,477.22,482.84,-5.62,-1.16,31768.39,1522998.1469999999
600519.SH,2017-08-04,477.0,478.98,472.6,473.64,477.22,-3.58,-0.75,18681.14,887074.1640000001
600519.SH,2017-08-07,472.5,482.4,471.13,481.56,473.64,7.92,1.67,23099.37,1104715.336
600519.SH,2017-08-08,482.0,484.22,479.5,482.58,481.56,1.02,0.21,16051.58,773408.185
600519.SH,2017-08-09,484.84,492.98,482.03,490.85,482.58,8.27,1.71,41794.47,2045888.052
600519.SH,2017-08-10,491.09,499.6,489.0,491.63,490.85,0.78,0.16,35364.38,1747693.6409999998
600519.SH,2017-08-11,489.0,496.55,483.48,484.06,491.63,-7.57,-1.54,36572.57,1785149.1619999998
600519.SH,2017-08-14,485.21,500.1,485.21,499.83,484.06,15.77,3.26,39331.47,1952353.92
600519.SH,2017-08-15,500.11,501.1,495.01,495.97,499.83,-3.86,-0.77,27163.22,1350104.6730000002
600519.SH,2017-08-16,498.0,498.8,493.0,496.49,495.97,0.52,0.1,18587.22,921412.9909999999
600519.SH,2017-08-17,497.6,497.6,489.8,492.69,496.49,-3.8,-0.77,25846.73,1272341.257
600519.SH,2017-08-18,492.8,494.44,488.0,489.65,492.69,-3.04,-0.62,23857.75,1169732.673
